Note,LGBTQ,ADULT_CONTENT,HEALTH,DRUGS_ALCOHOL_GAMBLING,RACE,VIOLENCE_CRIME,POLITICS,RELATION,LOCATION,NONE
bail,0,0,0,0,0,1,0,0,0,0
portion bank robbery,0,0,0,0,0,1,0,0,0,0
trump rally tickets make america great,0,0,0,0,0,0,1,0,0,0
crime scene,0,0,0,0,0,1,0,0,0,0
hey,0,0,0,0,0,0,0,0,0,0
cal gay,1,0,0,0,0,0,0,0,0,0
smoke,0,0,0,1,0,0,0,0,0,0
substance abuse,0,0,0,0,0,1,0,0,0,0
democrat,0,0,0,0,0,0,1,0,0,0
bet,0,0,0,1,0,0,0,0,0,0
frickin assholes,0,1,0,0,0,0,0,0,0,0
bills clinton,0,0,0,0,0,0,1,0,0,0
divorce settlement,0,0,0,0,0,0,0,1,0,0
lost bet,0,0,0,1,0,0,0,0,0,0
taking son vet,0,0,0,0,0,0,0,1,0,0
ouchie,0,0,0,0,0,0,0,0,0,0
little something celebrate birthday thankful son law truly blessing love,0,0,0,0,0,0,0,1,0,0
mexican,0,0,0,0,1,0,0,0,0,0
american girl,0,0,0,0,1,0,0,0,0,0
queer peer beer,1,0,0,0,0,0,0,0,0,0
boobies,0,1,0,0,0,0,0,0,0,0
lung cancer,0,0,1,0,0,0,0,0,0,0
obama football,0,0,0,0,0,0,1,0,0,0
favorite daughter,0,0,0,0,0,0,0,1,0,0
daughter,0,0,0,0,0,0,0,1,0,0
lit tyga song,0,0,0,0,0,0,0,0,0,0
ouch spleen,0,0,0,0,0,0,0,0,0,0
indian rituals u d u d u d,0,0,0,0,1,0,0,0,0,0
butthead,0,1,0,0,0,0,0,0,0,0
booze cruise husband,0,0,0,0,0,0,0,1,0,0
venmo_dollar,0,0,0,0,0,0,0,0,0,0
venmo_dollar festival_floaty,0,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
freedom communism,0,0,0,0,0,0,1,0,0,0
weed money,0,0,0,1,0,0,0,0,0,0
husband bradley cooper aka jack maine fine ft screen,0,0,0,0,0,0,0,1,0,0
nigerian prince tax,0,0,0,0,1,0,1,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
good blow,0,1,0,0,0,0,0,0,0,0
big gay,1,0,0,0,0,0,0,0,0,0
therapy emotional damage caused boot,0,0,1,0,0,0,0,0,0,0
bail money,0,0,0,0,0,1,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
bailing car car jail,0,0,0,0,0,1,0,0,0,0
dranks son,0,0,0,0,0,0,0,1,0,0
italian wedding,0,0,0,0,1,0,0,1,0,0
air bnb germany first nights,0,0,0,0,0,0,0,0,1,0
poker lul,0,0,0,1,0,0,0,0,0,0
vaca madam mayor,0,0,0,0,0,0,1,0,0,0
avoiding debtors prison,0,0,0,0,0,1,0,0,0,0
hope gay,1,0,0,0,0,0,0,0,0,0
u gay,1,0,0,0,0,0,0,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
young dagger dic,0,0,0,0,0,1,0,0,0,0
smitty medicine,0,0,1,0,0,0,0,0,0,0
s get jail free card game life,0,0,0,0,0,1,0,0,0,0
jeep tires daughter loves em,0,0,0,0,0,0,0,1,0,0
gay,1,0,0,0,0,0,0,0,0,0
daily heroin fix,0,0,0,1,0,0,0,0,0,0
lap dance one guy got gay club,1,0,0,0,0,0,0,0,0,0
dumbass reason,0,1,0,0,0,0,0,0,0,0
trump baabbbaaayyyyy,0,0,0,0,0,0,1,0,0,0
donation help trump build wall,0,0,0,0,0,0,1,0,0,0
gpb shoot,0,0,0,0,0,1,0,0,0,0
give aunt jenny michelle obama tix,0,0,0,0,0,0,1,0,0,0
therapy,0,0,1,0,0,0,0,0,0,0
datpizzadough,0,0,0,0,0,0,0,0,0,0
safe flight queer,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
thank awesome seattle weekend,0,0,0,0,0,0,0,0,1,0
keep sending money around like gov think pulling heist chill,0,0,0,0,0,0,1,0,0,0
london,0,0,0,0,0,0,0,0,1,0
gay,1,0,0,0,0,0,0,0,0,0
vodka pls,0,0,0,1,0,0,0,0,0,0
ali worst enemy,0,0,0,0,0,1,0,0,0,0
pimp daddy lashes,0,1,0,0,0,0,0,0,0,0
late night sexual encounters,0,1,0,0,0,0,0,0,0,0
ouch,0,0,0,0,0,0,0,0,0,0
tequila shots,0,0,0,1,0,0,0,0,0,0
energy drinks bc nighter hellz yeah brother,0,0,0,0,0,0,0,0,0,0
damaris tablet,0,0,1,0,0,0,0,0,0,0
san francisco,0,0,0,0,0,0,0,0,1,0
donald trump,0,0,0,0,0,0,1,0,0,0
post singapore foodz,0,0,0,0,0,0,0,0,1,0
modi champ,0,0,0,0,0,0,1,0,0,0
oh yeah bebe,0,0,0,0,0,0,0,0,0,0
casino addictive personality,0,0,0,1,0,0,0,0,0,0
child abuse bad,0,0,0,0,0,1,0,0,0,0
see movies without husband,0,0,0,0,0,0,0,1,0,0
kikagaku moyo weed,0,0,0,1,0,0,0,0,0,0
stuff,0,0,0,0,0,0,0,0,0,0
pack used condoms,0,1,0,0,0,0,0,0,0,0
yay communism,0,0,0,0,0,0,1,0,0,0
donald trump president,0,0,0,0,0,0,1,0,0,0
asthma medicine,0,0,1,0,0,0,0,0,0,0
sexual education,0,1,0,0,0,0,0,0,0,0
drinks cambo food,0,0,0,0,0,0,0,0,0,0
lousy husband,0,0,0,0,0,0,0,1,0,0
dubai,0,0,0,0,0,0,0,0,1,0
beauty pain,0,0,1,0,0,0,0,0,0,0
ireland,0,0,0,0,0,0,0,0,1,0
germany expenses,0,0,0,0,0,0,0,0,1,0
old australian men come town,0,0,0,0,1,0,0,0,0,0
tired paying bushbecks last week forgot send jawn larry,0,0,0,0,0,0,0,0,0,0
pedal pub,0,0,0,1,0,0,0,0,0,0
church group,0,0,0,0,1,0,0,0,0,0
michelle obama arms,0,0,0,0,0,0,1,0,0,0
medication,0,0,1,0,0,0,0,0,0,0
mexican,0,0,0,0,1,0,0,0,0,0
husbands gambling,0,0,0,0,0,0,0,1,0,0
ouch,0,0,0,0,0,0,0,0,0,0
frankie gay,1,0,0,0,0,0,0,0,0,0
dinner dtla,0,0,0,0,0,0,0,0,1,0
rocket_popsicle,0,0,0,0,0,0,0,0,0,0
sexual harassment tip,0,1,0,0,0,0,0,0,0,0
london eye,0,0,0,0,0,0,0,0,1,0
stupid bet,0,0,0,1,0,0,0,0,0,0
explosives,0,0,0,0,0,1,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
midget strippers,0,1,0,0,0,0,0,0,0,0
disappoint mom choices time,0,0,0,0,0,0,0,1,0,0
brunch booze,0,0,0,1,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
venmo_dollar,0,0,0,0,0,0,0,0,0,0
case fbi,0,0,0,0,0,1,0,0,0,0
wisconsin trumpets long sleeve,0,0,0,0,0,0,0,0,0,0
blueprints missile silo,0,0,0,0,0,1,0,0,0,0
israel,0,0,0,0,1,0,0,0,0,0
toxic,0,0,0,0,0,1,0,0,0,0
indian hot pockets,0,0,0,0,1,0,0,0,0,0
bloody mary,0,1,0,0,0,0,0,0,0,0
awesome daughter,0,0,0,0,0,0,0,1,0,0
black,0,0,0,0,1,0,0,0,0,0
government spying us,0,0,0,0,0,0,1,0,0,0
ugly,0,0,0,0,0,0,0,0,0,0
france rules,0,0,0,0,0,0,0,0,1,0
world cup bet interest,0,0,0,1,0,0,0,0,0,0
china owns america,0,0,0,0,1,0,0,0,0,0
little late night medicine,0,0,1,0,0,0,0,0,0,0
mid american,0,0,0,0,1,0,0,0,0,0
bengal belles,0,0,0,0,1,0,0,0,0,0
venmo gay let instant deposit,1,0,0,0,0,0,0,0,0,0
suicide football pool,0,0,0,0,0,1,0,0,0,0
flea medicine,0,0,1,0,0,0,0,0,0,0
gov meal,0,0,0,0,0,0,1,0,0,0
miami,0,0,0,0,0,0,0,0,1,0
return deposit,0,0,0,0,0,0,0,1,0,0
miscellaneous criminal conspiracy related expenses,0,0,0,0,0,1,0,0,0,0
stripping,0,1,0,0,0,0,0,0,0,0
mexican,0,0,0,0,1,0,0,0,0,0
product shoot,0,0,0,0,0,0,0,0,0,0
thank,0,0,0,0,0,0,0,0,0,0
psa aidans gay,1,0,0,0,0,0,0,0,0,0
bet,0,0,0,1,0,0,0,0,0,0
tall blonde asian lolla zomboy,0,0,0,0,1,0,0,0,0,0
pimp dues pt,0,1,0,0,0,0,0,0,0,0
sexual encounters,0,1,0,0,0,0,0,0,0,0
issa bribe,0,0,0,0,0,1,0,0,0,0
child support birth control,0,0,1,0,0,0,0,0,0,0
italiano,0,0,0,0,1,0,0,0,0,0
oktoberfest babe,0,1,0,0,0,0,0,0,0,0
hell yeah,0,0,0,0,0,0,0,0,0,0
oral copulation,0,1,0,0,0,0,0,0,0,0
bills splitwise com iceland wine,0,0,0,0,0,0,0,0,1,0
aids,0,0,1,0,0,0,0,0,0,0
london eye,0,0,0,0,0,0,0,0,1,0
african shopping,0,0,0,0,1,0,0,0,0,0
therapy mental state,0,0,1,0,0,0,0,0,0,0
dirty north indian,0,0,0,0,1,0,0,0,0,0
last payment mom,0,0,0,0,0,0,0,1,0,0
ecstasy,0,0,0,1,0,0,0,0,0,0
happy gay day,1,0,0,0,0,0,0,0,0,0
australian spin class,0,0,0,0,1,0,0,0,0,0
fbi manhunt,0,0,0,0,0,1,0,0,0,0
totally normal things nothing illegal,0,0,0,0,0,1,0,0,0,0
chicago,0,0,0,0,0,0,0,0,1,0
impeach trump stickers buttons,0,0,0,0,0,0,1,0,0,0
hey,0,0,0,0,0,0,0,0,0,0
obama,0,0,0,0,0,0,1,0,0,0
r fat asses,0,1,0,0,0,0,0,0,0,0
trump foundation,0,0,0,0,0,0,1,0,0,0
dirty bastard,0,1,0,0,0,0,0,0,0,0
woopsies,0,0,0,0,0,0,0,0,0,0
black people dont open bible till need tattoo,0,0,0,0,1,0,0,0,0,0
weapons mass intoxication,0,0,0,0,0,1,0,0,0,0
flight canada,0,0,0,0,0,0,0,0,1,0
mexican,0,0,0,0,1,0,0,0,0,0
france,0,0,0,0,0,0,0,0,1,0
velvet divorce hope still platonic,0,0,0,0,0,0,0,1,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
strippers,0,1,0,0,0,0,0,0,0,0
lots explosions,0,0,0,0,0,1,0,0,0,0
weed,0,0,0,1,0,0,0,0,0,0
black eyed betty,0,0,0,0,1,0,0,0,0,0
hawaii,0,0,0,0,0,0,0,0,1,0
toxicity city city,0,0,0,0,0,1,0,0,0,0
car criminal,0,0,0,0,0,1,0,0,0,0
hi,0,0,0,0,0,0,0,0,0,0
obama,0,0,0,0,0,0,1,0,0,0
gay xfinity,1,0,0,0,0,0,0,0,0,0
preventing bunny slaughtered,0,0,0,0,0,1,0,0,0,0
mexican stap on,0,0,0,0,1,0,0,0,0,0
denver,0,0,0,0,0,0,0,0,1,0
bush crawl,0,0,0,0,0,0,1,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
jew,0,0,0,0,1,0,0,0,0,0
dominos pizza,0,0,0,0,0,0,0,0,0,0
sublet nyc,0,0,0,0,0,0,0,0,1,0
fuk one time,0,1,0,0,0,0,0,0,0,0
favorite russian jew,0,0,0,0,1,0,0,0,0,0
trump tariff,0,0,0,0,0,0,1,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
people drug lunch,0,0,0,1,0,0,0,0,0,0
bisexual king harold styles,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
best indian sunburn burn ve years,0,0,0,0,1,0,0,0,0,0
bet bruh,0,0,0,1,0,0,0,0,0,0
lesbian party goods,1,0,0,0,0,0,0,0,0,0
little chinese people clean house,0,0,0,0,1,0,0,0,0,0
joey gallo therapy sessions,0,0,1,0,0,0,0,0,0,0
divorce paperwork latuhhhhh,0,0,0,0,0,0,0,1,0,0
gay,1,0,0,0,0,0,0,0,0,0
lick bootyhole,0,1,0,0,0,0,0,0,0,0
drinks ubers,0,0,0,1,0,0,0,0,0,0
crack,0,0,0,1,0,0,0,0,0,0
gay boy,1,0,0,0,0,0,0,0,0,0
refund performance fake scam government caught hurl atmosphere,0,0,0,0,0,0,1,0,0,0
middletown new jersey,0,0,0,0,0,0,0,0,1,0
wan na sober vomit,0,0,1,0,0,0,0,0,0,0
hahaha fuc bish,0,1,0,0,0,0,0,0,0,0
hi,0,0,0,0,0,0,0,0,0,0
cancer,0,0,1,0,0,0,0,0,0,0
drink cost admission marmar wedding count,0,0,0,1,0,0,0,0,0,0
jesus dues,0,0,0,0,1,0,0,0,0,0
cancer stick pods hbd,0,0,1,0,0,0,0,0,0,0
san diego valley boys u d u d,0,0,0,0,0,0,0,0,1,0
yeah boi,0,0,0,0,0,0,0,0,0,0
throwing weapons,0,0,0,0,0,1,0,0,0,0
gambling,0,0,0,1,0,0,0,0,0,0
mom daughter costco,0,0,0,0,0,0,0,1,0,0
food strippers,0,1,0,0,0,0,0,0,0,0
chinese hong kong,0,0,0,0,1,0,0,0,0,0
black magic witch herb,0,0,0,0,0,0,0,0,0,0
daughter forgot credit card,0,0,0,0,0,0,0,1,0,0
space jeez,0,0,0,0,1,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
mkl strippers,0,1,0,0,0,0,0,0,0,0
new jersey wives tour,0,0,0,0,0,0,0,0,1,0
michelle obama,0,0,0,0,0,0,1,0,0,0
mexican food refund,0,0,0,0,1,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
hotel california,0,0,0,0,0,0,0,0,1,0
poker,0,0,0,1,0,0,0,0,0,0
gays,1,0,0,0,0,0,0,0,0,0
weed,0,0,0,1,0,0,0,0,0,0
big negotiation deal el centro,0,0,0,0,0,0,0,0,1,0
husband,0,0,0,0,0,0,0,1,0,0
picture took zoo look like sad divorced couple forced take picture,0,0,0,0,0,0,0,1,0,0
michelle obama arms,0,0,0,0,0,0,1,0,0,0
jew,0,0,0,0,1,0,0,0,0,0
doctor,0,0,1,0,0,0,0,0,0,0
dallas airbnb,0,0,0,0,0,0,0,0,1,0
bush,0,0,0,0,0,0,1,0,0,0
ai n t criminals,0,0,0,0,0,1,0,0,0,0
heroin,0,0,0,1,0,0,0,0,0,0
gay marriage legalized massachusetts,1,0,0,0,0,0,0,0,0,0
racist bachelorette finale,0,0,0,0,1,0,0,0,0,0
divorces expensive,0,0,0,0,0,0,0,1,0,0
letting destroy ovaries,0,0,0,0,0,1,0,0,0,0
cubans rum,0,0,0,1,0,0,0,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
crime scene fee,0,0,0,0,0,1,0,0,0,0
aids,0,0,1,0,0,0,0,0,0,0
daughter introduced podcast,0,0,0,0,0,0,0,1,0,0
dumbass management,0,1,0,0,0,0,0,0,0,0
divorce u d,0,0,0,0,0,0,0,1,0,0
keep good work last pornstar alil angry big mess,0,1,0,0,0,0,0,0,0,0
gay hot love,1,0,0,0,0,0,0,0,0,0
keep change gay,1,0,0,0,0,0,0,0,0,0
sos fbi watching us,0,0,0,0,0,1,0,0,0,0
insomnia,0,0,1,0,0,0,0,0,0,0
thief,0,0,0,0,0,1,0,0,0,0
intro american government ya hurddd,0,0,0,0,0,0,1,0,0,0
tokyo airbnb,0,0,0,0,0,0,0,0,1,0
obamacare,0,0,0,0,0,0,1,0,0,0
throwing ur bra stage,0,1,0,0,0,0,0,0,0,0
rocket_popsicle,0,0,0,0,0,0,0,0,0,0
best year old son ever,0,0,0,0,0,0,0,1,0,0
caste system,0,0,0,0,1,0,0,0,0,0
medicine,0,0,1,0,0,0,0,0,0,0
hope enough medication,0,0,1,0,0,0,0,0,0,0
softball bet,0,0,0,1,0,0,0,0,0,0
bangalore beyond cc siddharth kumar,0,0,0,0,0,0,0,0,1,0
gay,1,0,0,0,0,0,0,0,0,0
booze,0,0,0,1,0,0,0,0,0,0
feeding gambling addiction,0,0,0,1,0,0,0,0,0,0
theme song plays,0,0,0,0,0,0,0,0,0,0
doctors appointment c,0,0,1,0,0,0,0,0,0,0
domestic abuse awareness week,0,0,0,0,0,1,0,0,0,0
favorite daughter u d,0,0,0,0,0,0,0,1,0,0
voting fraud,0,0,0,0,0,1,0,0,0,0
dave cancer fundraiser,0,0,1,0,0,0,0,0,0,0
venmo_dollar,0,0,0,0,0,0,0,0,0,0
damn thieves,0,0,0,0,0,1,0,0,0,0
better daughter,0,0,0,0,0,0,0,1,0,0
montanague bet,0,0,0,1,0,0,0,0,0,0
taxation government regulated theft,0,0,0,0,0,0,1,0,0,0
hospital,0,0,1,0,0,0,0,0,0,0
venmo_dollar,0,0,0,0,0,0,0,0,0,0
year old fake ids move,0,0,0,0,0,1,0,0,0,0
driving ann arbor,0,0,0,0,0,0,0,0,1,0
im gay dollars dollars,1,0,0,0,0,0,0,0,0,0
photographer fees uga son photoshoot,0,0,0,0,0,0,0,1,0,0
hola,0,0,0,0,0,0,0,0,0,0
tokyo housing,0,0,0,0,0,0,0,0,1,0
people alcohol jeez,0,0,0,0,1,0,0,0,0,0
vegas,0,0,0,0,0,0,0,0,1,0
venmo_dollar,0,0,0,0,0,0,0,0,0,0
tip strippers thanks g,0,1,0,0,0,0,0,0,0,0
russian propaganda,0,0,0,0,0,0,1,0,0,0
colonoscopy,0,0,1,0,0,0,0,0,0,0
day saw future husband,0,0,0,0,0,0,0,1,0,0
tennis clinic,0,0,1,0,0,0,0,0,0,0
sexual misconduct,0,1,0,0,0,0,0,0,0,0
sam gay,1,0,0,0,0,0,0,0,0,0
lost bet,0,0,0,1,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
best extra daughter,0,0,0,0,0,0,0,1,0,0
national send daughter money day,0,0,0,0,0,0,0,1,0,0
aiding drug problem,0,0,0,1,0,0,0,0,0,0
whoops,0,0,0,0,0,0,0,0,0,0
san diego airbnb u d,0,0,0,0,0,0,0,0,1,0
megan future husband,0,0,0,0,0,0,0,1,0,0
venmo_dollar,0,0,0,0,0,0,0,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
obama change,0,0,0,0,0,0,1,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
fighting racism,0,0,0,0,1,0,0,0,0,0
ocean city md vacation,0,0,0,0,0,0,0,0,1,0
bone dip,0,0,1,0,0,0,0,0,0,0
daughter,0,0,0,0,0,0,0,1,0,0
squirt gun emoji,0,0,0,0,0,1,0,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
gays,1,0,0,0,0,0,0,0,0,0
magnum condoms,0,1,0,0,0,0,0,0,0,0
sexual misconduct,0,1,0,0,0,0,0,0,0,0
bike cancer,0,0,1,0,0,0,0,0,0,0
weed,0,0,0,1,0,0,0,0,0,0
gay wrong,1,0,0,0,0,0,0,0,0,0
mexican men,0,0,0,0,1,0,0,0,0,0
mexican,0,0,0,0,1,0,0,0,0,0
thanks weed fox good lovely day,0,0,0,1,0,0,0,0,0,0
vegas u d,0,0,0,0,0,0,0,0,1,0
venmo_dollar,0,0,0,0,0,0,0,0,0,0
taxes biggest scam endured american people taken laying,0,0,0,0,1,0,0,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
pudm day fundraising challenge requested everyone venmo donate riley hospital children every little bit counts everyone donates raise info donaterileykidsorggotopizzasteve,0,0,1,0,0,0,0,0,0,0
thai,0,0,0,0,1,0,0,0,0,0
interracial gangbang funds,0,1,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
putin russia,0,0,0,0,0,0,1,0,0,0
glass wine,0,0,0,1,0,0,0,0,0,0
im dumbass,0,1,0,0,0,0,0,0,0,0
mary mayor,0,0,0,0,0,0,1,0,0,0
rent,0,0,0,0,0,0,0,1,0,0
dumbass charter,0,1,0,0,0,0,0,0,0,0
thxxxx husband,0,0,0,0,0,0,0,1,0,0
