Note,LGBTQ,ADULT_CONTENT,HEALTH,DRUGS_ALCOHOL_GAMBLING,RACE,VIOLENCE_CRIME,POLITICS,RELATION,LOCATION,NONE
Real gay,1,0,0,0,0,0,0,0,0,0
GAY,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Gay Xfinity,1,0,0,0,0,0,0,0,0,0
Gay things,1,0,0,0,0,0,0,0,0,0
Because you a gay,1,0,0,0,0,0,0,0,0,0
Gayer vape,1,0,0,0,0,0,0,0,0,0
YOU GAYYYY ASSS BOIII,1,0,0,0,0,0,0,0,0,0
I’m gay,1,0,0,0,0,0,0,0,0,0
Cuz your gay,1,0,0,0,0,0,0,0,0,0
Sam is gay,1,0,0,0,0,0,0,0,0,0
I’m gay for you,1,0,0,0,0,0,0,0,0,0
I’m gay,1,0,0,0,0,0,0,0,0,0
Fenoli is gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gays,1,0,0,0,0,0,0,0,0,0
Haha I’m gay,1,0,0,0,0,0,0,0,0,0
U gay af,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
Kissing your homies goodnight is no longer considered gay...so where's my kiss?,1,0,0,0,0,0,0,0,0,0
Bro I am very gay seriously bro I’m super gay,1,0,0,0,0,0,0,0,0,0
Legalizing gay marriage,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
You’re gay,1,0,0,0,0,0,0,0,0,0
the gays TM take dave and buster,1,0,0,0,0,0,0,0,0,0
Ur mom gay,1,0,0,0,0,0,0,0,0,0
Gay 4 pay,1,0,0,0,0,0,0,0,0,0
Gayness,1,0,0,0,0,0,0,0,0,0
You’re gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
For being gay,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
"Personal, intimate footrub session. Not gay",1,0,0,0,0,0,0,0,0,0
Gay Vietnamese food,1,0,0,0,0,0,0,0,0,0
Something gay,1,0,0,0,0,0,0,0,0,0
I hope you’re not gay,1,0,0,0,0,0,0,0,0,0
my gay boyfriend at the gay bar,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Gayse,1,0,0,0,0,0,0,0,0,0
Gay stuff in public,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
Im gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
i’m not gay i swear,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
Just to tell you how gay you are.,1,0,0,0,0,0,0,0,0,0
GAY OLYMPIC CHEERFEST,1,0,0,0,0,0,0,0,0,0
Hotel room gay stuff,1,0,0,0,0,0,0,0,0,0
ur mom gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Double gay,1,0,0,0,0,0,0,0,0,0
For being gay,1,0,0,0,0,0,0,0,0,0
Gays,1,0,0,0,0,0,0,0,0,0
Keep the change you gay,1,0,0,0,0,0,0,0,0,0
I’m gay you’re kinda gay. Let’s do something about it.,1,0,0,0,0,0,0,0,0,0
Being a gay boi,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
You big gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Gayness,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay lessons,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay excursions,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Remember when you puked outside a gay bar,1,0,0,0,0,0,0,0,0,0
Gay muney,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay fair,1,0,0,0,0,0,0,0,0,0
bein gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay kids,1,0,0,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
Cause I ain’t gay,1,0,0,0,0,0,0,0,0,0
You’re gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Team gay pat,1,0,0,0,0,0,0,0,0,0
The gay agenda,1,0,0,0,0,0,0,0,0,0
So much gay stuff,1,0,0,0,0,0,0,0,0,0
Gay Pat FTW,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
im gay and havent gotten u anything in a while. buy something tastie. i love u,1,0,0,0,0,0,0,0,0,0
for gay camp,1,0,0,0,0,0,0,0,0,0
psa aidans gay,1,0,0,0,0,0,0,0,0,0
Gay love.,1,0,0,0,0,0,0,0,0,0
It’s great to be gay,1,0,0,0,0,0,0,0,0,0
Gay Pat killed it x2,1,0,0,0,0,0,0,0,0,0
Targay,1,0,0,0,0,0,0,0,0,0
Gaylord,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
Gay !,1,0,0,0,0,0,0,0,0,0
Gay gordan,1,0,0,0,0,0,0,0,0,0
Going the extra mile for a pal (in a technically not gay way at all),1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
For all the gay clubs you’ve been going to in Orlando,1,0,0,0,0,0,0,0,1,0
ur gay,1,0,0,0,0,0,0,0,0,0
Fortnite is gay!,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
bets that he’s gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Make Kansas Gay Again,1,0,0,0,0,0,0,0,0,0
for your gay stuff,1,0,0,0,0,0,0,0,0,0
My name is Joey and I’m gay,1,0,0,0,0,0,0,0,0,0
You gay,1,0,0,0,0,0,0,0,0,0
Cuz ur gay,1,0,0,0,0,0,0,0,0,0
Gayborhood,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
Gayboy,1,0,0,0,0,0,0,0,0,0
Gay for pay,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
Bc ur gay,1,0,0,0,0,0,0,0,0,0
Not gay this time,1,0,0,0,0,0,0,0,0,0
So he doesn’t tell people I’m gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
For joining the federal department of gayness,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay kids,1,0,0,0,0,0,0,0,0,0
For being gay,1,0,0,0,0,0,0,0,0,0
girl shirt gay,1,0,0,0,0,0,0,0,0,0
Gay membership you're gay now,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Thanks Sara gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
girls and gays,1,0,0,0,0,0,0,0,0,0
The Gay,1,0,0,0,0,0,0,0,0,0
Gay boi,1,0,0,0,0,0,0,0,0,0
Gay Sweatshirt,1,0,0,0,0,0,0,0,0,0
gay shirt,1,0,0,0,0,0,0,0,0,0
Pink gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
the gay stripper,1,1,0,0,0,0,0,0,0,0
To not be gay,1,0,0,0,0,0,0,0,0,0
for bein gay n matchy matchy,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Being mad gay,1,0,0,0,0,0,0,0,0,0
Ha gay,1,0,0,0,0,0,0,0,0,0
Gay stuff,1,0,0,0,0,0,0,0,0,0
I’m gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
You gay,1,0,0,0,0,0,0,0,0,0
Cab ride from gay bar,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay yogurt,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
You gay,1,0,0,0,0,0,0,0,0,0
Airbnb in Gay Paree,1,0,0,0,0,0,0,0,0,0
Gay People,1,0,0,0,0,0,0,0,0,0
gay coffee,1,0,0,0,0,0,0,0,0,0
gay food,1,0,0,0,0,0,0,0,0,0
cuz ur gay,1,0,0,0,0,0,0,0,0,0
Gay boy,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Gay date.,1,0,0,0,0,0,0,0,0,0
Gay stuff,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gayness,1,0,0,0,0,0,0,0,0,0
Gay love,1,0,0,0,0,0,0,0,0,0
you’re gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
Gay boi,1,0,0,0,0,0,0,0,0,0
For being gay,1,0,0,0,0,0,0,0,0,0
Gays,1,0,0,0,0,0,0,0,0,0
I’m gay,1,0,0,0,0,0,0,0,0,0
For your gay HIV test.,1,0,0,0,0,0,0,0,0,0
Gay boy,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay boy food,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
For u being gay,1,0,0,0,0,0,0,0,0,0
Gay hot love,1,0,0,0,0,0,0,0,0,0
You’re gay,1,0,0,0,0,0,0,0,0,0
Kuhz your gay,1,0,0,0,0,0,0,0,0,0
Gayness... yummy yumz. Yumsters,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
Here’s 3 dollars to be less gay,1,0,0,0,0,0,0,0,0,0
You gay,1,0,0,0,0,0,0,0,0,0
Gay rights activist,1,0,0,0,0,0,0,0,0,0
Tk gay,1,0,0,0,0,0,0,0,0,0
Ur mom gay,1,0,0,0,0,0,0,0,0,0
You’re gay,1,0,0,0,0,0,0,0,0,0
For your lap dance from that one guy I got you at the gay club.,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
the gay agenda,1,0,0,0,0,0,0,0,0,0
Big gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Nothing gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
gay melody,1,0,0,0,0,0,0,0,0,0
Gay stuff,1,0,0,0,0,0,0,0,0,0
Gay midget blowjobs,1,1,0,0,0,0,0,0,0,0
You gay,1,0,0,0,0,0,0,0,0,0
U r gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
Weird gay stuff,1,0,0,0,0,0,0,0,0,0
You’re gay,1,0,0,0,0,0,0,0,0,0
For being gay.,1,0,0,0,0,0,0,0,0,0
Other gay lover,1,0,0,0,0,0,0,0,0,0
Gay stuff,1,0,0,0,0,0,0,0,0,0
Donation for The Gays,1,0,0,0,0,0,0,0,0,0
Sorry ito lng bi gay ko. Lots of other bills.,1,0,0,0,0,0,0,0,0,0
Your gay fundraiser,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Roxanne gay,1,0,0,0,0,0,0,0,0,0
Not butts stuff I'm gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
ur mom gay,1,0,0,0,0,0,0,0,0,0
gimme those points gay boy,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
You’re gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay add pants,1,0,0,0,0,0,0,0,0,0
Youre gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Gay for pay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Really gay,1,0,0,0,0,0,0,0,0,0
For being gay,1,0,0,0,0,0,0,0,0,0
gay vacation,1,0,0,0,0,0,0,0,0,0
gay shooz,1,0,0,0,0,0,0,0,0,0
Gay stuff,1,0,0,0,0,0,0,0,0,0
mount gay,1,0,0,0,0,0,0,0,0,0
Your gay,1,0,0,0,0,0,0,0,0,0
some gay house stuff,1,0,0,0,0,0,0,0,0,0
Gaysh fudz,1,0,0,0,0,0,0,0,0,0
For being gay,1,0,0,0,0,0,0,0,0,0
Cal is gay,1,0,0,0,0,0,0,0,0,0
Still gay,1,0,0,0,0,0,0,0,0,0
gay drinks,1,0,0,0,0,0,0,0,0,0
Move I’m gay!,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Gays,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
I hate you more than a gay alpacha,1,0,0,0,0,0,0,0,0,0
Ur mom gay,1,0,0,0,0,0,0,0,0,0
here to support the gays,1,0,0,0,0,0,0,0,0,0
girls and gays only event,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Tyler is gay,1,0,0,0,0,0,0,0,0,0
Big gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
It’s not gay if you have socks on,1,0,0,0,0,0,0,0,0,0
give this to evan someone called you gay...,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
U mom gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Because I’m gay,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
Gay bar,1,0,0,0,0,0,0,0,0,0
torak gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
I’m not gay. :( you’re wrong,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
For being gay,1,0,0,0,0,0,0,0,0,0
GAY,1,0,0,0,0,0,0,0,0,0
juuuuuul pods cuz ohios gay,1,0,0,0,0,0,0,0,0,0
You're gay...,1,0,0,0,0,0,0,0,0,0
Robs big gay party,1,0,0,0,0,0,0,0,0,0
I’m gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Being a gay tio,1,0,0,0,0,0,0,0,0,0
Do two gays make a straight?,1,0,0,0,0,0,0,0,0,0
Gay ice,1,0,0,0,0,0,0,0,0,0
I’m super duper gay,1,0,0,0,0,0,0,0,0,0
I’m gay,1,0,0,0,0,0,0,0,0,0
Being gay,1,0,0,0,0,0,0,0,0,0
Nicks gay parade with Bryce JTAC,1,0,0,0,0,0,0,0,0,0
Your gay dude,1,0,0,0,0,0,0,0,0,0
7/11 is gay,1,0,0,0,0,0,0,0,0,0
It’s my birthday and I’m gay,1,0,0,0,0,0,0,0,0,0
Gay conversion therapy for Andy.,1,0,0,0,0,0,0,0,0,0
Im gay,1,0,0,0,0,0,0,0,0,0
I love gay people,1,0,0,0,0,0,0,0,0,0
Mallards gayme,1,0,0,0,0,0,0,0,0,0
I’m gay and don’t know math. Let me know if this was enough,1,0,0,0,0,0,0,0,0,0
Gay,1,0,0,0,0,0,0,0,0,0
